iter	Logloss
0	0.5709787915
1	0.494205879
2	0.4423006212
3	0.4081812364
4	0.3847545394
5	0.3692019763
6	0.3584031026
7	0.3498374835
8	0.344461624
9	0.3388168192
10	0.3358790693
11	0.3334037231
12	0.3312329087
13	0.3290512549
14	0.3273227216
15	0.3261784755
16	0.3254255982
17	0.3247407913
18	0.3239687071
19	0.3234860549
20	0.3230898148
21	0.3225555922
22	0.3221336566
23	0.3218430924
24	0.3215675529
25	0.3212028531
26	0.3210243629
27	0.3207888001
28	0.3205639315
29	0.3203760101
30	0.3201289975
31	0.3198874128
32	0.3197664683
33	0.3196640437
34	0.3195371079
35	0.3194570383
36	0.3193059372
37	0.3191871438
38	0.3190693491
39	0.3189485516
40	0.3188566438
41	0.3187720816
42	0.3186643689
43	0.3185106181
44	0.318416183
45	0.3183217531
46	0.3182324199
47	0.31813244
48	0.3180840239
49	0.317990357
50	0.3179244757
51	0.3178300713
52	0.317740739
53	0.3176310574
54	0.3175526601
55	0.3174531094
56	0.317353586
57	0.3172453627
58	0.3171497048
59	0.3170859989
60	0.3170136499
61	0.3169455183
62	0.3168698522
63	0.3168152764
64	0.3167372321
65	0.3166793323
66	0.3165909936
67	0.3164845072
68	0.3164140922
69	0.31632476
70	0.3162715052
71	0.3161818365
72	0.3160878957
73	0.3160173971
74	0.315955847
75	0.3158615983
76	0.3158091067
77	0.3157223853
78	0.3156459945
79	0.3156146897
80	0.3155596441
81	0.3154762633
82	0.3153936784
83	0.3153170757
84	0.3152085479
85	0.3151101355
86	0.3150184682
87	0.3148915696
88	0.3148112831
89	0.314716072
90	0.3146196316
91	0.314536252
92	0.3144656256
93	0.3143628445
94	0.3142896106
95	0.3142203073
96	0.3141504006
97	0.3140670043
98	0.3139678778
99	0.3138962778
100	0.3138107759
101	0.313717841
102	0.3136356231
103	0.3135726447
104	0.3134936662
105	0.3134290935
106	0.3133417932
107	0.3132709428
108	0.3131969946
109	0.3131064042
110	0.3130330199
111	0.3129785741
112	0.3129295622
113	0.3128677839
114	0.3127773831
115	0.3127029979
116	0.3126390261
117	0.3125678534
118	0.3124772529
119	0.3123812197
120	0.3122998485
121	0.3122327091
122	0.3121541747
123	0.3120808454
124	0.3120187466
125	0.3119476124
126	0.3118755959
127	0.3117953628
128	0.3117248453
129	0.3116497815
130	0.3115675349
131	0.3115025563
132	0.3114133246
133	0.311327735
134	0.3112541048
135	0.3111605634
136	0.311103449
137	0.3110527212
138	0.3109971113
139	0.3109390765
140	0.3108430741
141	0.310771155
142	0.3107099144
143	0.3106214771
144	0.3105680515
145	0.3104918755
146	0.3104210898
147	0.310351607
148	0.3102808637
149	0.3102284779
150	0.3101866684
151	0.3101520795
152	0.3100740606
153	0.3100127342
154	0.3099601776
155	0.3098798974
156	0.30980565
157	0.3097370737
158	0.3096728229
159	0.3096287027
160	0.3095807387
161	0.3095432127
162	0.3094899693
163	0.3094263818
164	0.3093904111
165	0.3093496933
166	0.3093019489
167	0.3092398495
168	0.3091789551
169	0.3091082431
170	0.3090415406
171	0.3090029048
172	0.3089431341
173	0.3088663659
174	0.3088259362
175	0.3087548742
176	0.3087202741
177	0.3086584488
178	0.3085997848
179	0.3085407219
180	0.3084803561
181	0.3084200293
182	0.3083453782
183	0.308304488
184	0.3082236518
185	0.3081570706
186	0.3080918473
187	0.3080279996
188	0.3079651649
189	0.3079152448
190	0.3078540856
191	0.3077922531
192	0.3077469567
193	0.3077089239
194	0.3076455213
